Gene	Control	Control_r	shPTB	shPTB_r	shPTBnPTB	shPTBnPTB_r
A1BG	6	7	28	20	21	9
A1BG-AS1	5	5	16	5	17	8
A1CF	0	0	0	0	0	0
A2M	9	3	38	26	20	26
A2M-AS1	0	0	1	0	0	0
A2ML1	0	0	0	0	2	0
A2MP1	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0
A4GALT	9	5	10	4	2	1
A4GNT	0	0	0	0	0	0
AA06	0	0	0	0	0	0
AAAS	121	76	137	79	215	136
AACS	68	44	82	45	102	88
AACSP1	0	0	0	0	0	0
AADAC	0	0	1	1	1	2
AADACL2	0	0	0	1	0	0
AADACL2-AS1	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0
AADAT	17	11	27	18	34	18
AAED1	110	63	144	61	97	72
AAGAB	131	90	187	157	198	113
AAK1	10	13	55	21	66	39
AAMDC	21	23	79	46	39	35
AAMP	237	206	374	171	320	208
AANAT	0	0	0	0	0	0
AAR2	9	11	24	11	16	19
AARD	0	0	0	0	0	0
AARS	531	421	1014	495	1365	930
AARS2	67	42	172	91	125	73
AARSD1	73	66	89	51	169	96
AASDH	38	28	67	28	51	35
AASDHPPT	84	59	44	26	46	25
AASS	86	50	129	70	81	74
AATBC	0	0	0	0	0	0
AATF	76	72	126	58	191	115
AATK	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0
ABALON	0	0	2	1	2	1
ABAT	20	23	9	5	7	0
ABCA1	865	697	893	427	806	511
ABCA10	53	38	16	9	13	13
ABCA11P	5	6	13	6	13	14
ABCA12	1	2	1	0	1	1
ABCA13	0	0	1	0	0	0
ABCA17P	0	2	0	0	0	0
ABCA2	50	37	66	28	76	30
ABCA3	1	1	6	3	6	5
ABCA4	5	3	0	0	0	0
ABCA5	209	213	193	98	186	118
ABCA6	410	317	445	229	469	328
ABCA7	39	41	28	17	29	23
ABCA8	631	491	381	203	519	338
ABCA9	293	186	241	114	263	148
ABCA9-AS1	22	15	8	14	28	14
ABCB1	0	2	6	6	2	3
ABCB10	68	58	22	26	51	23
ABCB11	0	0	0	0	0	0
ABCB4	7	5	44	26	11	9
ABCB5	0	0	6	1	1	0
ABCB6	75	44	81	39	170	108
ABCB7	72	84	139	72	128	89
ABCB8	47	25	85	26	90	43
